22230,7071,29593,9930
49381,48083,79184,75902
54694,93047,65399,158988
53371,23287,98191,111452
13754,17622,91995,94873
51386,84392,54836,164741
87332,29544,178394,116683
97260,46660,161340,83895
80328,82558,179726,158360
63825,6983,87969,43694
44335,98571,86116,131710
30129,5510,123437,100189
66469,94865,101889,166799
10933,59862,105224,119407
4206,87289,55268,115730
99609,3257,134849,74777
61704,40479,102873,83811
70668,32451,152026,70578
39819,79368,104463,127986
41752,12329,56022,85873
49322,8507,141619,62620
20758,81631,93607,160590
65711,15739,124810,75293
83454,82382,93236,140175
13154,27367,61553,91158
1324,580,70714,94737
87012,75134,146209,153763
68884,58358,156238,108011
92938,12456,147347,29266
12569,14571,102075,104997
95252,87354,160067,117706
70721,10834,134760,14610
65798,11425,74173,88959
21949,80889,36590,99322
9188,75768,97747,162214
96432,34805,112275,103598
37676,68573,39966,93470
89319,16554,92280,88957
28142,96050,28858,137383
11371,32340,68824,121728
12334,25996,49437,75321
55393,36497,149608,93251
88351,79691,150942,81034
73874,93638,101924,166230
64850,76712,150599,158725
3674,63475,29005,85094
4735,602,11514,75691
17043,65642,25257,102436
13520,91933,72725,186806
28410,81068,105748,128553
89193,639,137663,64148
13680,12102,52931,46830
42164,4084,107681,65077
80538,7444,105353,49876
32670,92871,91533,185743
90113,57744,99858,141269
78019,47968,109510,141433
15389,37375,73389,66306
70337,75806,87348,144738
59218,44032,138658,76996
74714,81938,172013,122509
58213,53481,133288,79315
74767,46406,80523,126710
98420,82445,115459,106564
79122,24420,150243,62831
6412,44649,74417,97380
532,41249,58417,120046
32722,65636,98606,128490
75350,75329,169759,159356
66650,22497,98014,75087
56904,22423,120576,52680
89790,85176,117930,115196
54814,26101,151296,29201
84294,93032,154870,107690
88400,2114,129974,44871
73623,90677,86273,134787
74266,56290,152495,71503
84146,78337,145173,89561
13845,74678,17733,125288
36851,77215,53722,88104
29930,23856,124861,41441
22009,79004,65534,123011
50729,63769,51778,86476
95391,54576,103711,75117
75940,44094,160381,121566
94048,74393,113345,105296
74328,77264,134044,121429
97392,90662,159973,111215
96982,10413,129475,44330
50529,29568,63828,32548
83041,78131,88827,97867
24054,51441,120390,80481
12526,340,73221,49221
73088,54537,105117,129482
98524,56642,184002,140908
54249,5748,127763,7253
86880,21578,149414,76390
13648,16133,45195,16400
59794,56334,73919,126429
39586,22864,76703,95193
93686,34822,130443,89737
32898,53161,101742,66199
74754,68333,151244,127104
62282,53199,96276,121169
969,20723,3596,77301
34312,20377,96640,63165
94401,29783,148101,123982
94867,35315,149783,94266
69973,60460,164785,136696
45426,32989,93030,128287
99983,48599,193433,131116
13453,39272,15069,129000
8388,56905,50407,118312
86614,51899,94315,142115
84624,60817,124866,87616
71624,58736,87556,142640
3047,12095,33636,76113
23940,61846,65263,118660
49016,97360,136675,167096
95859,10351,128992,75395
85243,88908,177651,105557
97903,26654,123517,72798
21102,31181,79612,83070
20880,30930,98379,81868
65469,96033,158470,151206
68498,75871,121900,141851
39231,50781,105962,57746
75702,99794,154806,133311
45207,94726,105203,155505
37495,83095,51339,156840
83690,19604,106431,71288
35383,32317,96504,71551
51869,41135,151141,90091
91199,70469,108061,150626
15187,64858,93193,77214
48843,5621,49976,81393
77053,61066,91510,65836
55933,23593,89226,78560
43861,56118,52492,69802
32882,34787,127261,78624
81796,43985,152742,91989
56918,16952,132010,26667
44620,27863,58268,35300
24137,10137,37843,57480
25183,47798,121070,145968
80852,27483,113521,81474
55183,8878,103785,49406
92046,13675,174586,73192
3867,16441,25980,103805
61561,60243,140397,102813
39420,56022,79866,81343
52109,58709,147809,113680
56809,70877,72251,135064
98216,57429,174373,109588
17163,99420,91320,118693
4090,68103,34646,165339
80694,87079,178383,136545
98236,36582,159623,76389
6548,45495,34251,71553
55465,17071,123321,27492
45815,39190,52860,121264
60583,65208,78118,118806
31199,32980,33208,83665
25127,12370,75963,98982
60313,42044,86098,65471
70263,77737,114358,171773
46965,26222,117377,64040
95547,141,122371,52331
35822,68540,64532,83090
61582,282,118394,3101
1303,92960,80342,137091
15702,65864,88401,131985
22132,13548,80414,38796
41571,42554,56386,46935
24998,11456,122285,36082
57597,15410,60184,55259
33679,39175,125322,95065
98854,59728,154621,104150
11073,81264,40231,115727
78523,34136,174044,72481
36304,32245,40358,115610
73270,77347,160082,120024
38663,30097,40763,49286
18620,8534,34946,100581
33853,31253,65857,33401
74125,9564,170177,17077
45880,37574,66965,130135
66198,16562,154627,63053
92608,27352,168352,125914
39933,3098,105134,35867
91815,32215,99550,59734
64612,70272,120201,84866
15847,60654,18704,134593
45847,74792,70716,112041
97857,6512,98327,20940
49634,62186,57705,106878
70980,44110,131891,69902
24098,33692,105739,109891
97410,71623,143245,86942
40978,22685,90679,51385
47401,29732,112678,32649
70516,72279,135445,86213
79206,26266,129712,80729
30664,63119,58715,130002
67460,96297,82134,111727
58228,56721,82323,80009
15170,24544,22534,73786
691,42893,93941,91730
1532,20590,90535,66688
66009,13922,92540,20379
91607,15821,188335,105006
79594,33985,152337,95460
6150,65586,36145,134996
7066,49594,56024,105808
76368,18886,113404,89091
67497,34907,82161,98178
54730,39654,128687,119848
14063,43985,16021,141137
77875,87686,120621,185425
10200,17111,99433,87088
98167,45345,169411,134366
43506,66322,90006,83008
77882,34336,160139,112629
6038,11251,33614,17062
14156,5925,95640,55791
89164,8683,172462,30746
11922,33566,83195,48528
14955,9000,76620,21741
59503,30537,140974,72627
53770,63597,150698,155790
27080,56004,76359,87325
3513,95604,93852,111432
40622,30490,138716,85573
42965,55206,75582,56861
79591,67900,176971,139116
59334,60901,83036,77880
71146,96409,91015,151215
92518,73124,151036,75340
72044,28557,159759,91589
69824,18819,87582,99665
61591,44343,114461,118125
71947,65207,79205,107993
9978,81387,70607,151641
68771,52849,118276,62582
34845,46921,77210,55652
22375,2945,30722,86889
65015,61127,124007,92202
27710,72526,78500,122520
29944,38721,90112,101639
46135,74914,130418,122827
52099,2518,93095,60183
13445,33523,37462,37070
7387,65340,92496,95426
43870,88546,59433,95193
56360,57091,84883,143616
85156,52314,176808,137487
88468,44242,149330,58298
67485,40029,158069,64354
91600,52746,101130,68286
84758,21762,171970,60763
68885,87247,113267,165959
48097,65602,127423,92491
39489,30888,68889,37089
10152,3355,38772,97961
81793,65399,84679,91730
73273,25959,158307,78401
8886,16996,36862,103141
87257,61588,170777,128416
17728,19148,27468,28032
47224,55455,139804,91924
21597,36904,73764,79027
4145,63061,58874,84209
86763,84795,98439,163156
36856,8469,102917,89381
12792,48520,99644,63794
15000,83053,23333,133586
49380,21868,125358,112930
7675,57596,96314,86981
28594,97771,127265,100394
34250,63723,46876,104001
18870,11465,76298,89563
58470,59732,63876,77957
65458,37165,141380,94921
67176,12080,98210,35269
33499,1445,90453,49066
24067,18277,43581,97655
18445,97346,50177,118108
64669,78876,138442,96339
47668,26913,49976,68547
69849,36827,143751,41890
13292,46643,86420,49355
5126,92885,46109,183070
91796,2835,96430,2945
